Easting[m], Northing[m], CH-1.0m
669756.067,5856394.432,4.816
669756.066,5856394.432,4.621
669756.065,5856394.432,4.894
669756.064,5856394.432,4.816
669756.063,5856394.433,4.582
669756.063,5856394.432,4.582
669756.064,5856394.431,4.347
669756.064,5856394.43,4.308
669756.065,5856394.429,4.699
669756.065,5856394.428,4.855
669756.098,5856394.448,4.66
669756.169,5856394.494,4.816
669756.274,5856394.562,5.011
669756.368,5856394.623,5.051
669756.469,5856394.689,4.426
669756.544,5856394.737,4.113
669756.687,5856394.83,4.465
669756.825,5856394.92,5.051
669756.989,5856395.026,4.855
669757.116,5856395.109,4.816
669757.266,5856395.206,4.465
669757.535,5856395.397,4.777
669757.709,5856395.525,4.894
669757.964,5856395.712,5.168
669758.182,5856395.872,5.558
669758.455,5856396.073,5.597
669760.847,5856398.7,5.519
669760.992,5856398.936,5.871
669761.154,5856399.2,5.636
669761.298,5856399.434,5.676
669761.475,5856399.721,5.246
669761.623,5856399.962,5.09
669761.792,5856400.243,4.894
669761.987,5856400.569,5.051
669762.187,5856400.903,4.972
669762.39,5856401.242,5.168
669762.533,5856401.482,5.285
669762.713,5856401.719,5.793
669762.943,5856401.944,5.636
669763.174,5856402.17,5.597
669763.393,5856402.384,5.754
669763.613,5856402.599,5.91
669763.828,5856402.809,5.558
669764.081,5856403.059,5.011
669764.313,5856403.287,5.441
669764.486,5856403.458,5.207
669764.707,5856403.676,4.894
669764.965,5856403.933,4.699
669765.138,5856404.132,4.465
669765.342,5856404.367,4.933
669765.548,5856404.604,4.738
669765.765,5856404.854,5.246
669765.99,5856405.114,5.441
669766.205,5856405.335,6.144
669766.441,5856405.557,5.636
669766.665,5856405.767,5.519
669766.962,5856406.046,5.91
669767.123,5856406.197,6.301
669767.369,5856406.45,5.793
669767.566,5856406.732,5.597
669767.802,5856407.069,5.207
669768.014,5856407.373,5.363
669768.225,5856407.674,5.402
669768.464,5856408.017,5.285
669768.67,5856408.31,5.246
669768.894,5856408.628,5.363
669769.185,5856409.042,5.636
669769.349,5856409.276,5.676
669769.607,5856409.637,5.988
669769.868,5856409.968,6.34
669770.053,5856410.204,6.613
669770.281,5856410.493,6.613
669770.497,5856410.768,6.926
669770.753,5856411.094,6.73
669770.924,5856411.314,6.691
669771.14,5856411.594,6.144
669771.377,5856411.9,6.222
669771.575,5856412.157,6.144
669771.799,5856412.447,5.832
669772.067,5856412.737,5.558
669772.259,5856412.899,5.519
669772.527,5856413.126,5.91
669772.72,5856413.289,6.34
669772.958,5856413.49,6.027
669773.193,5856413.709,6.144
669773.368,5856414.028,6.457
