lat	long
-25.11061867	-53.83507028
-25.1075649261475	-53.8344116210938
-25.1074722634031	-53.8321470484206
-25.1093597412109	-53.8294219970703
-25.109899520874	-53.8292770385742
-25.1109808488224	-53.8301105567454
-25.11112175	-53.83053202
-25.11111239	-53.83056758
-25.1111021	-53.83060303
-25.11109009	-53.83064019
-25.11107722	-53.83067698
-25.11106465	-53.83071443
-25.11105167	-53.83075332
-25.11103892	-53.83079154
-25.11102559	-53.83082874
-25.11101397	-53.83086818
-25.1110029	-53.83090825
-25.11099307	-53.83094744
-25.11098467	-53.83098785
-25.11097834	-53.83102841
-25.11097283	-53.83106887
-25.11096649	-53.83110779
-25.11096031	-53.8311479
-25.11095473	-53.83118449
-25.11094885	-53.83122066
-25.11094222	-53.83125472
-25.11093501	-53.83129098
-25.11092707	-53.83132856
-25.11091917	-53.83136764
-25.11091018	-53.83140574
-25.11090073	-53.83144486
-25.11089009	-53.83148388
-25.11087803	-53.83152267
-25.11086567	-53.83156057
-25.11085417	-53.83159484
-25.11084183	-53.83162835
-25.11082948	-53.83166224
-25.11081671	-53.8316968
-25.11080339	-53.83173123
-25.11078905	-53.83176712
-25.11077354	-53.83180268
-25.11076	-53.8318397
-25.11074584	-53.83187733
-25.110732	-53.83191443
-25.11071849	-53.83195188
-25.11070447	-53.83198857
-25.11069107	-53.83202674
-25.11067826	-53.83206375
-25.11066615	-53.83210214
-25.11065511	-53.83214121
-25.11064219	-53.83218048
-25.11063131	-53.83222167
-25.11061913	-53.83226278
-25.1106078	-53.83230462
-25.11059697	-53.83234634
-25.11058673	-53.83238718
-25.11057675	-53.83242816
-25.11056601	-53.83246699
-25.11055544	-53.83250519
-25.11054434	-53.83254353
-25.11053179	-53.83258237
-25.11051845	-53.83262076
-25.11050379	-53.83265878
-25.11048985	-53.83269573
-25.11047462	-53.83273435
-25.11045666	-53.83277063
-25.11043786	-53.83280786
-25.11041735	-53.83284257
-25.11039692	-53.83287551
-25.11037585	-53.8329091
-25.11035496	-53.83293992
-25.11033342	-53.83297078
-25.11031032	-53.83300151
-25.11028557	-53.83303253
-25.11026093	-53.83306276
-25.11023471	-53.83309281
-25.11020936	-53.83312266
-25.11018501	-53.83315135
-25.11016075	-53.83317884
-25.11013495	-53.83320483
-25.11010899	-53.83323173
-25.11008336	-53.83325776
-25.11005826	-53.83328532
-25.11003348	-53.83331318
-25.11000928	-53.83334197
-25.10998553	-53.83336937
-25.10996486	-53.83339676
-25.10994528	-53.83342352
-25.10992234	-53.83345072
-25.10989946	-53.83347682
-25.10987829	-53.83350474
-25.10985649	-53.83353202
-25.10983524	-53.8335599
-25.1098175	-53.83358777
-25.10980196	-53.83361434
-25.10978841	-53.83363781
-25.10977956	-53.83366089
-25.10977527	-53.83368248
-25.10977545	-53.83370325
-25.10978	-53.83372329
-25.10978908	-53.8337438
-25.10980742	-53.83376664
-25.1098319	-53.83378669
-25.10986107	-53.83380411
-25.10989255	-53.83382034
-25.10992311	-53.83383569
-25.10995555	-53.83385044
-25.10998784	-53.8338652
-25.11001974	-53.8338787
-25.11005127	-53.83389537
-25.11008455	-53.83391229
-25.11011524	-53.83392819
-25.11014467	-53.8339452
-25.11017335	-53.83396175
-25.11020491	-53.83397826
-25.110237	-53.83399479
-25.11026882	-53.8340118
-25.11029808	-53.83402868
-25.11032734	-53.83404588
-25.11035442	-53.83406236
-25.11037973	-53.83407926
-25.11040376	-53.83409649
-25.11042635	-53.83411308
-25.1104494	-53.8341333
-25.1104702	-53.8341561
-25.11048975	-53.83417931
-25.11050785	-53.83420559
-25.11052627	-53.83423663
-25.11054499	-53.83427241
-25.11056314	-53.83431224
-25.11057739	-53.8343519
-25.11059065	-53.83439337
-25.11060301	-53.83443466
-25.11061308	-53.83447838
-25.11062001	-53.83452121
-25.11062603	-53.83456495
-25.1106318	-53.8346077
-25.11063563	-53.8346504
-25.11063754	-53.8346951
-25.11063607	-53.83473683
-25.11063696	-53.83477912
-25.11063571	-53.83481965
-25.11063381	-53.83486175
-25.1106321	-53.83490266
-25.11063058	-53.83494603
-25.11062696	-53.83498758
-25.11062319	-53.8350295

