LONGITUDE	LATITUDE
-54,003644214	-25,406813811
-54,003644871	-25,406815517
-54,003642762	-25,406821901
-54,003637508	-25,406843061
-54,003634822	-25,406853051
-54,003632679	-25,406864985
-54,003631301	-25,406877835
-54,003629429	-25,406891312
-54,003633303	-25,406892014
-54,003629667	-25,406904978
-54,003627832	-25,406918327
-54,003626251	-25,406929894
-54,003623686	-25,40694233
-54,003619289	-25,406956154
-54,003615462	-25,406970592
-54,003612074	-25,406984694
-54,003605253	-25,407004415
-54,003601418	-25,407018609
-54,003598959	-25,407031721
-54,003596089	-25,407044559
-54,003591175	-25,407057675
-54,003587513	-25,407070738
-54,00358317	-25,407082872
-54,00357878	-25,407095507
-54,003573936	-25,407107737
-54,003568087	-25,40712044
-54,003563805	-25,407134527
-54,003558381	-25,407148314
-54,003553884	-25,407161276
-54,003548762	-25,407172947
-54,003542933	-25,407183673
-54,003535327	-25,407192997
-54,003525613	-25,407202061
-54,00351644	-25,407210395
-54,003505827	-25,407217854
-54,003494985	-25,40722524
-54,003483509	-25,4072322
-54,003470825	-25,407237523
-54,00345571	-25,407239453
-54,003441036	-25,407241512
-54,003427767	-25,407243231
-54,003412184	-25,407243545
-54,003397633	-25,407245118
-54,003382146	-25,407245657
-54,003366212	-25,407246492
-54,00334978	-25,407246174
-54,003332771	-25,407246078
-54,003324163	-25,407254075
-54,003308299	-25,407254923
-54,003292809	-25,407255596
-54,003278024	-25,407256234
-54,003263337	-25,407256838
-54,003249597	-25,407258478
-54,003228722	-25,407254094
-54,003214126	-25,407254799
-54,003199441	-25,407255758
-54,003184845	-25,407257301
-54,003168479	-25,407257242
-54,003151355	-25,407256496
-54,003135748	-25,407256529
-54,003131233	-25,407268852
-54,003117273	-25,407271567
-54,003092663	-25,40726218
-54,003077502	-25,407263435
-54,003063806	-25,407266054
-54,003049	-25,407268107
-54,003034526	-25,407270923
-54,003020803	-25,407274264
-54,003006975	-25,407276477
-54,002989495	-25,407276211
-54,002974616	-25,407277117
-54,002961509	-25,407278415
-54,00294663	-25,407281433
-54,002931991	-25,407283461
-54,002915557	-25,407282639
-54,002899528	-25,407283331
-54,002884217	-25,40728394
-54,002881788	-25,407298865
-54,002853357	-25,40728589
-54,00283902	-25,407287813
