Longitude,Latitude,Deep
-84.753055,31.171052,5.4
-84.753036,31.171057,2.1
-84.75301,31.171063,4.6
-84.752981,31.171068,6
-84.752951,31.171074,7.5
-84.75292,31.17108,4.5
-84.75289,31.171086,7.6
-84.752859,31.171091,3.7
-84.752827,31.171097,7.6
-84.752793,31.171104,8.4
-84.752758,31.171111,8.2
-84.752722,31.171117,9.9
-84.752687,31.171123,6.1
-84.752652,31.171129,8.3
-84.752617,31.171135,6.1
-84.752582,31.171141,8.3
-84.752547,31.171147,6.9
-84.752511,31.171153,7.7
-84.752475,31.171159,5.3
-84.75244,31.171167,5.2
-84.752405,31.171175,10.3
-84.75237,31.171181,7.1
-84.752335,31.171187,5.6
-84.7523,31.171194,2.7
-84.752265,31.171199,8.9
-84.75223,31.171205,7.7
-84.752195,31.171212,9
-84.752161,31.171219,5.8
-84.752126,31.171225,4.1
-84.752092,31.171232,5.5
-84.752057,31.171239,10.2
-84.752022,31.171245,9.3
-84.751987,31.171252,7.5
-84.751953,31.171259,7.1
-84.751918,31.171265,5.4
-84.751883,31.171271,5.6
-84.751849,31.171278,7.1
-84.751814,31.171285,6.8
-84.75178,31.171291,7
-84.751745,31.171298,6.4
-84.75171,31.171305,6
-84.751675,31.171313,7.3
-84.751641,31.171319,6.5
-84.751606,31.171326,4.1
-84.751571,31.171333,5.1
-84.751536,31.171341,6.5
-84.751502,31.171349,6.7
-84.751468,31.171356,4.4
-84.751434,31.171364,5.4
-84.751399,31.171371,6
-84.751364,31.171377,5
-84.75133,31.171383,4.3
-84.751295,31.171389,4.3
-84.75126,31.171395,5
-84.751225,31.171401,5.9
-84.751191,31.171408,9
-84.751157,31.171415,9.5
-84.751122,31.171423,9
-84.751087,31.17143,8.2
-84.751052,31.171436,9.4
-84.751017,31.171443,9.4
-84.750981,31.171449,6.9
-84.750946,31.171456,6.7
-84.750912,31.171463,6
-84.750877,31.171469,6.1
-84.750841,31.171475,6.7
-84.750805,31.17148,8.4
-84.75077,31.171487,8.1
-84.750735,31.171494,8
-84.7507,31.171502,2.7
-84.750665,31.17151,2.9
-84.75063,31.171517,8.4
