x	y	yield
413004.3556	7939709.224	35.22982607
413002.8691	7939711.32	46.24764812
413006.0296	7939712.219	59.6314372
413009.7167	7939713.343	82.3893287
413000.1081	7939715.291	47.91256346
413005.3825	7939715.315	30.5564818
412997.9886	7939717.383	185.7834093
413005.6868	7939717.972	108.8921897
413000.9393	7939718.061	114.8923716
413011.8	7939719.107	108.0734514
413014.9621	7939719.674	145.0768614
413010.633	7939720.54	74.39839046
412996.1775	7939721.248	44.15904466
413000.7131	7939721.379	72.97606829
413017.7995	7939722.011	81.17055164
412997.2284	7939722.138	140.4031164
412993.0053	7939722.893	108.6819731
413007.9831	7939723.294	108.5127744
413013.3614	7939723.651	66.54522702
413001.2283	7939724.037	124.0593161
413017.0474	7939724.996	78.71349711
413007.5499	7939725.726	70.27990813
413010.1871	7939725.739	94.80767865
413020.1024	7939725.895	134.1181796
412995.9447	7939726.005	95.06461003
412993.306	7939726.325	128.3372235
413003.2218	7939726.371	98.72094119
412991.9326	7939726.761	88.23184119
413025.3708	7939727.247	37.4316902
413014.2935	7939727.417	134.0411001
413025.8972	7939727.471	74.8633804
413023.576	7939727.571	45.15568977
413003.8471	7939728.033	83.4191953
413030.6391	7939728.599	92.68799478
413009.011	7939729.163	35.64922876
413004.3674	7939729.585	48.12645883
412992.9742	7939729.643	90.31137953
412996.9828	7939729.661	67.22425995
413027.4688	7939729.802	44.8161733
412999.3025	7939729.893	83.56842463
413005.6303	7939730.254	163.3382845
412987.4838	7939730.724	68.99850728
413021.1344	7939730.879	36.66777816
413011.9559	7939731.058	94.11396393
413018.0743	7939731.086	78.80355832
412989.2745	7939731.286	136.8930384
413010.3701	7939731.825	77.78013548
413014.8006	7939731.846	145.4488534
413020.0745	7939731.981	171.1162981
413033.2595	7939732.263	53.18479534
412999.6073	7939732.44	109.08664
413005.2965	7939734.015	65.81396079
413025.9721	7939734.11	110.7223105
413036.943	7939734.161	96.25291766
412989.4718	7939734.274	81.05508855
412992.9518	7939734.512	117.9315027
412998.5427	7939734.537	58.66844505
412995.0585	7939735.185	104.3392061
413023.8557	7939735.539	61.6018673
413038.3076	7939735.605	48.3589538
413008.031	7939735.798	59.23256471
412985.5611	7939735.916	87.69710276
413014.2539	7939736.048	61.11296359
412983.2388	7939736.237	117.6424549
413016.15	7939736.61	81.05508855
413027.7538	7939736.663	114.077532
413011.4015	7939736.92	158.1529421
413000.1134	7939737.09	159.554386
413005.0713	7939737.112	93.33616258
412996.1032	7939737.403	77.00233413
413044.8393	7939737.517	81.99322615
413026.6938	7939737.765	45.63101282
413029.5404	7939738.11	143.3098996
413001.585	7939738.203	30.7131817
413017.9347	7939738.499	141.1709459
413029.327	7939738.662	51.33488942
413040.9296	7939738.937	42.77907451
413022.2566	7939739.183	103.7068473
412985.0158	7939739.787	50.45736994
412994.1933	7939739.829	53.77940796
412978.8964	7939739.98	127.1149643
413038.8147	7939740.034	106.9476863
412988.4954	7939740.135	126.0856933
412991.3435	7939740.148	77.21101254
413003.7911	7939740.205	43.87597386
413032.6954	7939740.227	108.6819731
413018.7705	7939740.274	64.81677957
413009.5894	7939741.006	89.6323466
412996.8229	7939741.501	139.8145362
413012.9625	7939741.575	96.25291766
413049.5654	7939742.075	102.0885176
413006.6307	7939742.099	87.80967927
413040.9143	7939742.257	107.6376714
413047.5601	7939742.287	96.41693328
413025.9335	7939742.52	51.33488942
413013.1684	7939742.683	121.9203624
413001.0362	7939742.848	114.8280421
412980.2546	7939742.863	72.72442668
413022.2393	7939742.946	90.7434914
413011.5846	7939743.007	50.32832296
413043.0206	7939743.041	65.96948066
412981.0964	7939743.31	94.56426998
413035.6323	7939743.892	48.48295112
412990.5878	7939743.906	60.51673956
