FID,X,Y,No,Textura,ARENA,ARCILLA,LIMO,MATO,CC,PMP,AD,SATU,pH,CE,N,Ca,Mg,K,Na,ISO,Red_NDVI,Stress,GNDVI,ENDVI,Indice_Clo,Fracción_V,Este,Norte
0,-91.457445,14.148286,1,Franca,45,10,45,2.44,22.515734,8.136652,14.379082,35.539615,6.06,70,1157.2,10.073803,4.025636,1.087499,0.169053,0.372999,0.819671988,0.224928007,0.724092007,0.555464983,3.695090055,67.4509964,666492.1761,1564674.015
1,-91.456945,14.149291,2,Franco-Limosa,35,10,55,3.74,26.811862,9.149542,17.66232,40.11122,6.04,70,1690.1,17.276684,4.124128,0.512147,0.3738,0.44063,0.862744987,0.210685998,0.743619025,0.579563022,3.877310038,68.23529816,666545.4219,1564785.555
2,-91.458563,14.150147,3,Franca,40,10,50,3.72,25.548846,9.142816,16.40603,42.716385,6.04,80,1812.6,9.646626,2.849212,1.422403,0.316269,0.428716,0.767969012,0.243539006,0.705552995,0.531394005,3.458309889,57.64709854,666370.1271,1564879.106
3,-91.457381,14.150644,4,Franca,35,20,45,2.55,29.026162,13.719745,15.306417,14.811964,6.1,80,1562.9,14.988439,4.900145,1.182072,0.221446,0.445277,0.870199978,0.182433993,0.772159994,0.621487975,4.419710159,80.78430176,666497.3679,1564934.93
4,-91.458011,14.151458,5,Franca,50,10,40,2.14,20.887014,7.861912,13.025102,36.869496,6.22,70,1306.9,13.359944,3.587646,1.08161,0.329701,0.386539,0.841176987,0.227485999,0.725529015,0.548936009,3.52918005,72.1568985,666428.7637,1565024.537
5,-91.458485,14.152318,6,Franca,50,10,40,2.12,20.858968,7.845496,13.013472,36.735798,6.15,70,1262.4,7.580309,2.916547,2.227994,0.136468,0.374133,0.821282983,0.226439998,0.726500988,0.55667299,3.686039925,68.62740326,666376.9674,1565119.344
6,-91.456243,14.151892,8,Franca,35,20,45,3.34,29.882199,14.183554,15.698645,18.137358,6.03,100,1863.2,14.647982,3.393427,1.451039,0.186603,0.456166,0.843071997,0.216132998,0.737312973,0.568620026,3.798799992,68.23529816,666619.3107,1565073.808
7,-91.455882,14.150589,9,Franco-Arenosa,55,15,30,1.49,21.258117,10.151488,11.106629,24.034488,6.41,70,1023,10.179982,4.110499,0.846066,0.171023,0.354477,0.863789022,0.214422002,0.742376029,0.569003999,3.730210066,87.4509964,666659.2322,1564929.911
8,-91.456293,14.14721,10,Franca,45,20,35,3.86,28.516097,14.590306,13.925791,21.491091,6.11,90,1861.2,11.362069,4.099004,2.197589,0.171853,0.471149,0.85829401,0.194920003,0.757966995,0.598631978,4.189650059,79.21569824,666617.3254,1564555.794
9,-91.454264,14.146723,11,Franca,35,20,45,2.31,28.767981,13.578841,15.18914,13.886555,6.31,70,1750.6,21.655187,5.0192,2.635948,0.669598,0.539832,0.882353008,0.172757,0.784106016,0.635143995,4.663090229,92.94120026,666836.7244,1564503.359
10,-91.453344,14.146027,12,Franca,35,20,45,2.04,28.478574,13.420324,15.05825,12.891126,6.34,80,1436.1,14.775755,5.495129,1.436121,0.20003,0.443501,0.838540018,0.232960999,0.731432021,0.543027997,3.551769972,60.39220047,666936.5527,1564427.015
11,-91.451895,14.145489,13,Franca,45,20,35,1.76,26.132178,13.237696,12.894482,13.937019,6.33,70,1215.3,12.040915,4.88057,1.584455,0.192066,0.416685,0.866741002,0.190424994,0.763670981,0.606733978,4.252319813,93.72550201,667093.3757,1564368.527
12,-91.451532,14.146991,14,Franca,48,14,38,1.78,22.699835,9.849388,12.850447,24.107525,6.29,70,1262.9,12.473039,4.812509,1.223215,0.225211,0.391205,0.853357971,0.196595997,0.75387001,0.599483013,4.151690006,83.92160034,667131.4665,1564534.956
13,-91.452785,14.147419,15,Franca,45,20,35,2.13,26.546544,13.476013,13.070531,15.115515,6.29,70,1411,14.306851,4.826256,1.276254,0.157663,0.419575,0.874382973,0.180557996,0.774544001,0.625485003,4.550280094,94.11759949,666995.8841,1564581.413
14,-91.454757,14.148154,16,Franca,40,20,40,2.18,27.608632,13.505368,14.103264,14.325648,6.11,90,1585.3,14.196974,4.233376,0.543131,0.300602,0.422185,0.850979984,0.208012,0.741150975,0.580199003,3.919630051,81.56860352,666782.4579,1564661.323
15,-91.455867,14.148541,17,Franco-Arenosa,61,10,29,3.13,19.733348,8.655067,11.078281,51.318959,6.32,70,1521.3,6.790436,2.248384,1.805118,0.13295,0.377082,0.828568995,0.228862002,0.721684992,0.54480499,3.526479959,83.13729858,666662.3446,1564703.348
16,-91.455461,14.150142,18,Franca,50,15,35,3.19,24.543138,11.457073,13.086065,29.943724,6.36,70,1533.2,7.880486,2.869614,1.536367,0.169248,0.39861,0.871205986,0.180797994,0.773962021,0.625225008,4.522699833,96.07839966,666705.0072,1564880.758
17,-91.45457,14.149596,19,Franca,40,20,40,2.64,28.115714,13.788544,14.32717,15.997057,6.27,70,1817.2,13.972107,4.751585,1.632482,0.269323,0.45768,0.857240021,0.199825004,0.752324998,0.594224989,4.086730003,81.17649841,666801.5935,1564820.988
18,-91.453377,14.148928,20,Franca,33,24,43,2.45,30.905604,15.834627,15.070977,10.473595,6.24,100,1570.9,15.736711,5.422579,1.522065,0.226767,0.47818,0.83316201,0.219807997,0.729211986,0.562574029,3.684469938,73.33329773,666930.8721,1564747.935
19,-91.451682,14.148231,21,Franca,50,15,35,2.47,23.607879,10.919449,12.68843,26.290074,6.37,70,1351.8,10.646485,4.265875,1.350402,0.172408,0.396141,0.858708978,0.208787993,0.747218013,0.575525999,3.805079937,72.1568985,667114.3666,1564672.033
20,-91.451852,14.149474,26,Franco-Arenosa,70,5,25,2.43,14.200482,5.117647,9.082835,82.454024,6.12,110,1123,11.15987,3.501133,0.690452,0.216016,0.363567,0.862506986,0.191379994,0.757369995,0.610782027,4.262300014,88.23529816,667095.1056,1564809.427
21,-91.458079,14.147294,38,Franca,45,20,35,1.77,26.143345,13.244137,12.899208,13.968052,6.3,70,964.4,12.513024,3.328204,0.852107,0.494631,0.413648,0.859153986,0.188036993,0.761179984,0.612227976,4.320340157,90.19609833,666424.4542,1564563.817
22,-91.45719,14.146682,39,Franca,50,15,35,2.58,23.749914,11.001586,12.748328,26.827837,6.27,70,1405.2,12.122567,3.891435,0.736078,0.21672,0.388679,0.867789984,0.197622001,0.75662303,0.596971989,4.150959969,74.11759949,666520.873,1564496.742
23,-91.455632,14.145691,40,Franco-Arenosa,60,10,30,1.16,17.16722,6.927568,10.239652,38.617426,6.47,70,521.2,7.827106,2.866002,1.156281,0.142636,0.313493,0.870966971,0.200567007,0.762028992,0.582880974,3.880709887,75.2940979,666689.7919,1564388.214
24,-91.454452,14.145073,42,Franca,52,19,29,3.03,25.741675,13.543022,12.198653,21.134319,5.87,150,1537.5,15.051946,4.9483,1.552888,0.258007,0.462175,0.866813004,0.187992007,0.764949024,0.615145981,4.387969971,89.41179657,666817.6322,1564320.683
25,-91.453948,14.144217,43,Franco-Arcillo-Arenosa,50,30,20,2.04,30.497043,19.053976,11.443067,5.726853,6.34,70,1232.5,14.425883,5.188837,1.545463,0.145398,0.458115,0.866281986,0.196658,0.758412004,0.593510985,4.048910141,76.07839966,666872.6674,1564226.34
26,-91.45299,14.144198,44,Franco-Arenosa,65,5,30,2.45,15.415538,5.18542,10.230118,76.027307,6.11,80,1352.8,10.801169,2.748881,1.296692,0.132755,0.360455,0.863716006,0.192385003,0.764558017,0.606495976,4.229249954,94.90200043,666976.105,1564224.921
27,-91.455881,14.143845,49,Franca,40,10,50,3.03,24.570818,8.615794,15.955024,36.871464,5.94,90,2311.4,13.678213,3.954934,1.663288,0.203676,0.435603,0.854061007,0.222477004,0.739915013,0.551966012,3.577820063,71.76470184,666664.2559,1564183.81
28,-91.458514,14.145753,52,Franco-Arenosa,57,5,38,2.69,17.739169,5.485924,12.253245,68.13175,6,140,1431.5,8.726241,3.448316,1.582406,0.166694,0.3902,0.854261994,0.209766999,0.744933009,0.575428009,3.822249889,56.47060013,666378.6144,1564393.025
29,-91.460392,14.146128,53,Franco-Arenosa,55,5,40,2.8,18.409146,5.6038,12.805346,66.78712,6.28,70,1441.4,8.569279,2.508357,0.833835,0.186814,0.356431,0.86066097,0.185801998,0.764270008,0.623688996,4.519249916,80.39219666,666175.5988,1564433.179
30,-91.459957,14.147072,54,Franco-Arenosa,65,5,30,2.13,14.931239,4.871692,10.059547,73.592263,6.31,70,1210.3,7.357419,1.963975,0.859275,0.131469,0.324159,0.840071023,0.221711993,0.728163004,0.564208984,3.689860106,60.78430176,666221.8737,1564537.924
31,-91.459418,14.149106,71,Franco-Arenosa,60,5,35,2.52,16.736329,5.299648,11.436681,70.285941,6.2,80,1264.2,8.84205,2.35659,1.309903,0.142156,0.354233,0.878431022,0.187582001,0.769042015,0.610451996,4.261879921,93.72550201,666278.5829,1564763.332
32,-91.462228,14.153636,76,Franca,50,20,30,3.24,26.838761,14.224024,12.614737,19.720071,6.51,100,1549.4,17.14785,5.332559,1.288671,0.220019,0.460246,0.835631013,0.227741003,0.722247005,0.547787011,3.539949894,83.13729858,665971.9391,1565262.501
33,-91.463234,14.15255,77,Franco-Arcillo-Arenosa,50,25,25,2.74,28.633928,16.65439,11.979538,11.198609,7.05,100,1396.3,10.357929,3.440031,1.681197,0.160752,0.43821,0.839999974,0.225012004,0.731839001,0.546831012,3.539400101,72.5490036,665864.1265,1565141.642
34,-91.463895,14.151112,78,Franco-Arcillosa,40,30,30,5.4,34.609486,20.5492,14.060286,11.667703,6.69,120,2669.8,11.966988,2.916861,1.062682,0.192692,0.514546,0.799699008,0.229267001,0.71331501,0.55112499,3.589679956,38.82350159,665793.8122,1564982.086
35,-91.464031,14.148629,86,Franco-Arenosa,65,10,25,3.71,19.684097,9.173653,10.510444,57.866877,6.46,100,1652.9,19.694994,4.762459,1.750679,0.138355,0.445469,0.68998301,0.294122994,0.652891994,0.460404009,2.826129913,60.78430176,665780.9311,1564707.291
