Longitude,Latitude,DeepEca
-84.9005218,31.0354183,1.7
-84.90047,31.0353633,1.8
-84.9004516,31.0353466,2.2
-84.9004318,31.0353316,2.1
-84.9004101,31.0353183,1.8
-84.9003868,31.0353066,1.8
-84.9003618,31.0352983,2.1
-84.9003368,31.0352916,2.2
-84.90031,31.0352866,2.1
-84.9002851,31.0352833,1.8
-84.9002551,31.0352816,1.8
-84.900225,31.0352816,1.9
-84.9001934,31.0352816,1.8
-84.9001634,31.0352816,2
-84.9001334,31.03528,2
-84.9001034,31.0352766,1.7
-84.9000734,31.0352733,1.5
-84.900045,31.0352733,1.4
-84.9000184,31.0352733,1.5
-84.8999866,31.0352733,1.4
-84.8999566,31.0352733,1.6
-84.8999332,31.0352733,1.4
-84.8999084,31.0352749,1.4
-84.8998834,31.0352766,1.2
-84.899855,31.0352783,1.5
-84.8998284,31.0352783,1.2
-84.8998001,31.0352816,1.2
-84.8997699,31.03528,1.1
-84.8997418,31.03528,1.8
-84.8997134,31.0352766,2.9
-84.8996833,31.0352733,3.4
-84.8996534,31.03527,3.8
-84.8996234,31.0352666,4.2
-84.8995934,31.0352616,3.4
-84.8995635,31.0352583,3.1
-84.8995334,31.035255,3.2
-84.899505,31.0352516,2.4
-84.8994784,31.0352483,2.1
-84.899455,31.0352483,2.1
-84.8994316,31.0352466,2
-84.8994068,31.0352433,1.5
-84.8993816,31.0352416,1.5
-84.8993568,31.0352383,1.2
-84.8993301,31.0352366,1.2
-84.8993034,31.0352366,1.3
-84.8992751,31.0352366,1.2
-84.8992501,31.0352366,1.1
-84.8992251,31.035235,1.2
-84.8991984,31.035235,1.1
-84.8991718,31.0352366,1
-84.8991184,31.03524,0.9
-84.8990901,31.0352383,1
-84.8989484,31.0352366,1
-84.8988918,31.0352333,0.9
-84.8988635,31.03523,0.8
-84.8988351,31.0352266,0.8
-84.898805,31.0352216,0.8
-84.8987768,31.0352166,0.7
-84.89875,31.0352133,0.6
-84.8987218,31.0352133,0.7
-84.8986934,31.0352116,0.8
-84.8986634,31.03521,0.8
-84.8986351,31.0352083,0.6
-84.8986083,31.0352083,0.6
-84.89858,31.0352083,0.6
-84.8985519,31.0352066,0.5
-84.8985218,31.035205,0.7
-84.8984934,31.0352033,0.5
-84.8984384,31.0352,0.6
-84.8984084,31.0351983,0.6
-84.8983802,31.0351966,0.7
-84.8983516,31.0351966,0.6
-84.8983234,31.035195,0.6
-84.898295,31.035195,0.5
-84.8982651,31.0351933,0.7
-84.8982368,31.0351916,0.6
-84.8982085,31.03519,0.6
-84.89818,31.03519,0.5
-84.8981518,31.03519,0.6
-84.8981218,31.0351883,0.6
-84.8980934,31.0351883,0.7
-84.8980651,31.0351883,0.7
-84.898035,31.0351883,0.7
-84.8980068,31.0351883,0.7
-84.8979766,31.0351866,0.7
-84.8979468,31.0351866,0.8
-84.8979184,31.0351849,0.8
-84.8978901,31.0351849,0.6
-84.8978618,31.0351849,0.7
-84.8978333,31.0351866,0.8
-84.8978034,31.0351883,0.7
-84.897775,31.0351883,0.8
-84.8977468,31.0351916,1
-84.8977184,31.0351966,0.9
-84.8976901,31.0352,1
-84.8976616,31.0352016,0.9
-84.8976334,31.035205,0.9
-84.8976051,31.035205,0.9
-84.8975766,31.0352033,1
-84.8975484,31.0352016,0.9
-84.8974918,31.035195,1.1
-84.8974635,31.03519,1.1
-84.8974066,31.0351849,1.4
-84.89735,31.03518,1.6
-84.897325,31.03518,1.6
-84.8973016,31.0351783,1.8
-84.8972816,31.0351766,1.9
-84.8972634,31.0351766,1.9
-84.8971866,31.0351766,1.5
-84.8971668,31.0351783,1.2
-84.8971434,31.0351783,1.4
-84.8971202,31.0351783,1.5
-84.8970918,31.0351783,1.9
-84.8970651,31.0351766,1.8
-84.8970351,31.035175,1.5
-84.8970016,31.0351733,1.7
-84.8969651,31.0351716,1.4
-84.8969234,31.03517,1.6
-84.8968766,31.0351683,1.5
-84.896825,31.035165,1.3
-84.8967751,31.0351633,0.9
-84.8967266,31.03516,1
-84.8966766,31.0351583,1
-84.8966266,31.0351583,1.3
-84.8965768,31.0351583,1.1
-84.8965284,31.03516,1
-84.8964784,31.0351633,0.9
-84.8964284,31.0351683,1
-84.8963801,31.035175,1.7
-84.8963318,31.03518,1.1
-84.8962833,31.0351833,1.2
-84.8962352,31.0351833,1.5
-84.896185,31.03518,1.9
-84.8961368,31.035175,2.2
-84.8960868,31.03517,2.6
-84.8960401,31.0351633,1.9
-84.8959901,31.0351583,2.4
-84.8959401,31.035155,1.9
-84.8958901,31.0351533,1.9
-84.8958401,31.0351516,2.9
-84.8957901,31.0351516,5.9
-84.8957401,31.0351516,6
-84.8956901,31.0351516,7.4
-84.8956418,31.0351516,7.8
-84.8955918,31.0351533,4.8
-84.895545,31.0351533,2.2
-84.8954968,31.0351533,2.6
-84.8954501,31.0351533,3.9
-84.8954101,31.0351566,4.2
-84.8953718,31.0351616,7.2
-84.8953334,31.0351666,6.7
-84.8952916,31.0351683,5.5
-84.8952518,31.03517,5.5
-84.8952118,31.0351716,4.9
-84.8951718,31.0351716,4.8
-84.8951318,31.0351716,4.8
-84.8950918,31.0351683,5.4
-84.8950516,31.0351666,5.5
-84.8950135,31.0351666,6.8
-84.8949734,31.035165,7.8
-84.8949334,31.0351666,7
-84.894895,31.0351683,6.4
-84.8948602,31.0351716,6.9
-84.8948284,31.0351766,7.5
-84.8948001,31.0351849,8.5
-84.894775,31.035195,7.7
-84.8947534,31.0352083,5.9
-84.8947333,31.0352216,1.3
-84.8947184,31.0352383,5.6
-84.8947083,31.035255,4.3
-84.8946984,31.0352749,5
-84.8946918,31.0352966,5.7
-84.8946884,31.0353166,4.3
-84.8946899,31.0353366,5
-84.8946952,31.0353583,5.9
-84.8947034,31.0353766,4.9
-84.8947133,31.0353966,6.3
-84.894725,31.035415,6.2
-84.8947368,31.0354333,6.2
-84.8947501,31.03545,6.7
-84.8947633,31.0354666,6.3
-84.8947766,31.035485,7.5
-84.8942151,31.035215,7.9
-84.8942032,31.0352,8
-84.8941883,31.0351849,8.1
-84.89417,31.0351716,7.4
-84.8941516,31.03516,6
-84.89413,31.03515,5.5
-84.8941034,31.0351416,5.2
-84.89408,31.0351366,5.4
-84.8940583,31.0351333,4.6
-84.8940301,31.0351316,3.8
-84.8939999,31.0351316,2.6
-84.8939668,31.03513,2.9
-84.893935,31.0351283,3
-84.8939034,31.0351283,3.4
-84.8938718,31.0351266,3.3
-84.8938401,31.035125,2.9
-84.8938084,31.0351216,2.7
-84.893775,31.0351166,3
-84.8937401,31.0351116,3.6
-84.8937066,31.0351083,3.5
-84.8936718,31.0351066,3.6
-84.8936366,31.0351033,2.8
-84.8936034,31.0351016,2.5
-84.89357,31.0351016,3.1
-84.893535,31.0351016,2.6
-84.8935016,31.0351,3.2
-84.8934649,31.0351,2.4
-84.8934268,31.0350983,2.7
-84.8933899,31.0350966,3.6
-84.8933501,31.0350966,2.9
-84.89331,31.035095,4.2
-84.8932699,31.0350933,3.4
-84.8932301,31.0350933,3.5
-84.8931901,31.0350916,3.5
-84.89315,31.0350916,3.8
-84.8931102,31.0350916,4.4
-84.8930702,31.0350916,3.9
-84.8930301,31.0350916,3.1
-84.8929883,31.0350933,2.9
-84.89295,31.0350966,2.7
-84.8929101,31.0350983,3.1
-84.8928718,31.0351016,3.2
-84.892835,31.035105,3.9
-84.8928001,31.03511,3.1
-84.8927668,31.035115,3.1
-84.8927368,31.0351199,4.1
-84.8927084,31.0351233,4.7
-84.89268,31.035125,2.7
-84.8926566,31.0351216,2.1
-84.8926334,31.0351183,1.7
-84.8926101,31.0351133,2.1
-84.8925918,31.0351083,2.4
