X Location,Y Location,EC_SH,EC_DP,ELEV_Ft
-86.1446366,31.2794217,1.5,1.6,71.5
-86.1446416,31.2794233,1.5,1.5,71.6
-86.1446516,31.2794266,1.4,1.4,71.7
-86.1446666,31.27943,1.5,1.6,71.7
-86.1446866,31.2794333,1.6,1.4,71.9
-86.14525,31.279455,3.9,3.3,73.3
-86.1452833,31.2794567,4.4,-4,73.3
-86.1453166,31.2794599,4.5,3.6,73.1
-86.1453483,31.2794617,3.7,3.3,73.2
-86.1453816,31.279465,3.4,2.9,73.2
-86.145415,31.2794666,2.6,-4,73.2
-86.1454466,31.2794683,1.8,1.8,73.3
-86.1454799,31.2794717,2.4,1.9,73.4
-86.145515,31.279475,2.2,1.7,73.4
-86.14555,31.2794783,2,1.5,73.4
-86.1455816,31.27948,1.8,2.4,73.4
-86.145615,31.27948,1.2,-4,73.6
-86.1456483,31.27948,1.1,1.1,73.6
-86.1456783,31.2794833,1.2,1.4,73.6
-86.14586,31.2794983,3.3,2.8,73.3
-86.1458883,31.2795016,4,-4,73.4
-86.1459183,31.2795049,3.1,2.9,73.6
-86.1459483,31.2795066,3.2,2.7,74
-86.1459783,31.2795083,3,2.7,74.3
-86.1460083,31.27951,2.1,2,74.6
-86.14604,31.2795133,2.4,2.3,74.7
-86.1460716,31.279515,2.2,1.8,74.7
-86.1461033,31.2795183,1.7,1.8,74.8
-86.146135,31.2795217,2.5,-4,75
-86.1461666,31.2795233,2.5,2.3,75.1
-86.1461966,31.279525,2.5,2.4,75.3
-86.1462283,31.2795267,2.8,2.5,75.4
-86.14626,31.27953,3.2,2.7,75.4
-86.1462916,31.2795333,3.3,3,75.3
-86.146325,31.279535,3.3,2.8,75.3
-86.1463583,31.2795367,3.5,2.9,75.4
-86.1463883,31.2795383,2.9,2.6,75.5
-86.1464183,31.2795416,2.8,2.5,75.5
-86.146625,31.2795583,2.4,2.5,76.1
-86.14666,31.2795617,2.5,2.4,76.3
-86.146695,31.2795649,2.3,2.2,76.3
-86.1467299,31.2795667,1.8,2.2,76.4
-86.146765,31.2795683,2.6,2.4,76.5
-86.1468616,31.2795716,3.4,3.3,76.3
-86.14689,31.2795749,3.8,3.8,76.2
-86.1469183,31.2795766,3.2,3.2,75.9
-86.1469399,31.2795783,3.8,3.5,75.7
-86.1469533,31.2795816,3.3,3.2,75.6
-86.1469616,31.2795833,2.4,2.7,75.6
-86.146995,31.2794683,2.6,3,77.1
-86.1469833,31.279465,3,3,76.9
