X		 ,Y			,Z
650007.26,4347600.43,57.00
650007.35,4347600.56,59.38
650005.13,4347600.55,41.25
650007.43,4347600.69,60.88
650007.52,4347600.83,63.88
650005.16,4347600.78,43.75
650007.59,4347600.95,63.00
650005.19,4347601.01,46.75
650007.68,4347601.08,63.88
650007.77,4347601.21,66.50
650005.22,4347601.25,50.13
650007.85,4347601.35,69.38
650005.25,4347601.49,52.88
650008.01,4347601.60,71.38
650008.10,4347601.78,72.88
650005.28,4347601.73,54.63
650008.18,4347601.97,72.50
650005.46,4347602.05,60.63
650008.27,4347602.15,74.38
650005.56,4347602.22,65.25
650008.35,4347602.33,76.50
650003.32,4347602.25,68.00
650005.65,4347602.39,65.75
649999.34,4347602.28,43.50
650003.39,4347602.40,65.50
650008.43,4347602.51,76.63
649999.31,4347602.37,45.25
650005.75,4347602.55,67.00
649999.29,4347602.47,46.75
650003.47,4347602.56,68.00
650008.51,4347602.68,77.25
649999.26,4347602.58,49.13
650005.85,4347602.72,69.13
650003.54,4347602.72,68.88
649999.23,4347602.68,49.88
650008.60,4347602.86,77.25
650005.94,4347602.87,69.13
650006.03,4347603.04,69.88
650003.70,4347603.05,70.75
650008.77,4347603.18,76.38
649999.23,4347603.05,55.00
650006.13,4347603.20,70.00
650008.88,4347603.30,76.13
650003.80,4347603.25,70.50
650008.98,4347603.42,76.38
650006.22,4347603.37,71.00
649999.24,4347603.27,56.00
650009.09,4347603.53,76.63
650003.89,4347603.44,69.88
650006.32,4347603.55,72.25
650009.19,4347603.65,77.25
649999.25,4347603.47,60.13
650003.99,4347603.64,71.25
650009.29,4347603.77,76.88
650006.41,4347603.74,72.63
650009.40,4347603.89,77.13
649999.27,4347603.69,62.00
650004.09,4347603.84,71.00
649997.99,4347603.75,46.88
650006.50,4347603.92,72.00
650009.50,4347604.01,77.63
649998.03,4347603.84,46.75
649999.28,4347603.92,64.25
650004.19,4347604.04,71.63
649998.07,4347603.93,44.63
650006.59,4347604.11,73.50
650009.70,4347604.24,81.50
649999.29,4347604.12,65.88
650004.29,4347604.25,74.25
650006.69,4347604.30,74.13
650009.82,4347604.40,80.38
649998.19,4347604.21,48.13
650004.38,4347604.43,74.88
649999.30,4347604.33,66.38
650006.77,4347604.48,74.75
650009.93,4347604.55,81.13
649998.24,4347604.34,47.00
650010.04,4347604.70,83.25
649998.29,4347604.48,49.13
650006.87,4347604.67,75.50
649995.06,4347604.44,46.75
650004.48,4347604.63,76.00
649999.31,4347604.55,67.75
649991.56,4347604.44,41.75
649991.56,4347604.48,42.25
649998.33,4347604.61,50.88
650010.16,4347604.85,85.38
649995.03,4347604.57,49.25
649991.56,4347604.52,37.50
650004.55,4347604.80,77.25
649991.56,4347604.56,41.38
650006.96,4347604.86,76.38
649998.38,4347604.74,50.50
649999.32,4347604.77,68.50
650010.26,4347604.99,84.63
649995.01,4347604.70,49.38
649991.56,4347604.65,41.38
649991.55,4347604.70,42.25
650004.61,4347604.97,77.25
650007.05,4347605.03,77.38
649995.02,4347604.81,49.25
649998.44,4347604.88,51.25
649991.55,4347604.76,41.13
650010.37,4347605.14,84.13
649991.55,4347604.81,40.75
649995.04,4347604.91,51.88
649999.43,4347605.00,67.63
649991.55,4347604.86,40.63
650004.67,4347605.13,78.50
649998.49,4347605.02,51.75
649991.55,4347604.92,39.00
650010.48,4347605.29,84.38
649995.05,4347605.01,52.38
649991.55,4347604.97,39.00
649991.98,4347604.99,46.13
649991.79,4347605.02,42.63
649991.55,4347605.03,38.13
650004.72,4347605.29,79.88
649991.68,4347605.04,41.63
649995.06,4347605.11,52.88
649991.58,4347605.06,41.13
649999.52,4347605.21,71.00
649991.55,4347605.08,38.75
649992.06,4347605.12,45.13
650007.27,4347605.42,77.00
649995.08,4347605.21,54.25
649998.58,4347605.29,52.75
649991.53,4347605.17,37.88
649991.54,4347605.17,39.38
650004.78,4347605.44,81.00
649998.63,4347605.34,54.00
650010.70,4347605.59,84.00
649992.14,4347605.25,45.63
649998.67,4347605.38,56.38
649995.09,4347605.31,55.75
649998.72,4347605.42,56.88
649999.62,4347605.44,71.75
650007.38,4347605.61,78.25
649998.76,4347605.46,57.50
649995.11,4347605.42,54.88
650004.84,4347605.61,80.00
649998.81,4347605.50,58.25
650010.78,4347605.74,85.88
649992.22,4347605.38,48.38
649998.85,4347605.54,58.63
649998.90,4347605.58,58.63
649995.12,4347605.52,55.13
649992.29,4347605.50,49.13
650007.49,4347605.80,82.00
650004.90,4347605.76,78.25
649999.72,4347605.67,72.13
650010.87,4347605.89,83.38
649995.14,4347605.63,57.25
649999.04,4347605.72,60.88
649992.38,4347605.63,50.25
650004.96,4347605.92,81.75
650007.59,4347605.98,84.00
650010.95,4347606.05,83.63
649999.10,4347605.83,64.50
649995.20,4347605.76,59.38
649992.45,4347605.76,51.50
649999.82,4347605.90,71.63
649999.17,4347605.94,65.88
650011.04,4347606.19,84.13
649995.26,4347605.91,61.63
650007.70,4347606.17,84.75
649992.54,4347605.89,51.75
649999.24,4347606.05,67.25
649999.93,4347606.13,72.50
650011.12,4347606.35,83.38
649995.32,4347606.05,64.25
650005.09,4347606.24,79.50
649999.31,4347606.16,67.38
650007.82,4347606.37,83.75
650005.18,4347606.37,79.13
649999.38,4347606.27,67.63
649992.69,4347606.14,56.13
