X,Y,Z
22.73879602,39.26477459,57
22.73879709,39.26477575,59.38
22.73877137,39.26477604,41.25
22.73879805,39.26477691,60.88
22.73879912,39.26477815,63.88
22.73877177,39.26477811,43.75
22.73879996,39.26477922,63
22.73877217,39.26478018,46.75
22.73880103,39.26478038,63.88
22.73880211,39.26478153,66.5
22.73877257,39.26478233,50.13
22.73880306,39.26478278,69.38
22.73877297,39.26478449,52.88
22.73880497,39.264785,71.38
22.73880606,39.26478661,72.88
22.73877337,39.26478665,54.63
22.73880703,39.26478831,72.5
22.73877553,39.2647895,60.63
22.73880811,39.26478991,74.38
22.73877672,39.26479101,65.25
22.73880908,39.26479152,76.5
22.73875078,39.26479167,68
22.73877781,39.26479253,65.75
22.73870467,39.26479263,43.5
22.73875162,39.26479301,65.5
22.73881004,39.26479313,76.63
22.73870434,39.26479344,45.25
22.738779,39.26479395,67
22.73870413,39.26479435,46.75
22.73875258,39.26479444,68
22.73881101,39.26479464,77.25
22.73870381,39.26479534,49.13
22.7387802,39.26479546,69.13
22.73875343,39.26479586,68.88
22.73870349,39.26479625,49.88
22.73881209,39.26479625,77.25
22.73878127,39.2647968,69.13
22.73878235,39.26479832,69.88
22.73875536,39.26479881,70.75
22.73881413,39.2647991,76.38
22.73870357,39.26479958,55
22.73878355,39.26479974,70
22.73881543,39.26480016,76.13
22.73875656,39.26480059,70.5
22.73881662,39.26480123,76.38
22.73878463,39.26480125,71
22.73870373,39.26480156,56
22.73881792,39.2648022,76.63
22.73875765,39.26480229,69.88
22.73878583,39.26480286,72.25
22.7388191,39.26480326,77.25
22.73870389,39.26480336,60.13
22.73875885,39.26480407,71.25
22.73882029,39.26480433,76.88
22.73878691,39.26480455,72.63
22.73882159,39.26480539,77.13
22.73870417,39.26480534,62
22.73876005,39.26480586,71
22.73868936,39.2648061,46.88
22.73878799,39.26480616,72
22.73882277,39.26480645,77.63
22.73868984,39.26480691,46.75
22.73870434,39.26480741,64.25
22.73876126,39.26480764,71.63
22.73869032,39.26480771,44.63
22.73878908,39.26480786,73.5
22.73882514,39.26480849,81.5
22.7387045,39.26480921,65.88
22.73876246,39.26480951,74.25
22.73879028,39.26480955,74.13
22.73882657,39.26480991,80.38
22.73869178,39.26481021,48.13
22.73876354,39.26481112,74.88
22.73870466,39.2648111,66.38
22.73879125,39.26481116,74.75
22.73882788,39.26481124,81.13
22.73869238,39.26481137,47
22.73882918,39.26481257,83.25
22.73869299,39.26481262,49.13
22.73879245,39.26481285,75.5
22.73865556,39.26481282,46.75
22.73876475,39.2648129,76
22.73870483,39.26481308,67.75
22.73861501,39.26481343,41.75
22.73861502,39.26481379,42.25
22.73869349,39.26481379,50.88
22.73883061,39.2648139,85.38
22.73865524,39.264814,49.25
22.73861503,39.26481415,37.5
22.7387656,39.26481442,77.25
22.73861504,39.26481451,41.38
22.73879353,39.26481455,76.38
22.7386941,39.26481495,50.5
22.73870499,39.26481506,68.5
22.7388318,39.26481515,84.63
22.73865504,39.26481517,49.38
22.73861506,39.26481532,41.38
22.73861495,39.26481577,42.25
22.73876633,39.26481594,77.25
22.73879461,39.26481606,77.38
22.73865518,39.26481616,49.25
22.73869482,39.2648162,51.25
22.73861496,39.26481631,41.13
22.73883311,39.26481648,84.13
22.73861498,39.26481676,40.75
22.73865543,39.26481706,51.88
22.73870632,39.26481711,67.63
22.73861499,39.26481721,40.63
22.73876706,39.26481738,78.5
22.73869543,39.26481745,51.75
22.738615,39.26481775,39
22.73883441,39.26481781,84.38
22.73865557,39.26481796,52.38
22.73861501,39.2648182,39
22.73862,39.26481831,46.13
22.7386178,39.26481861,42.63
22.73861502,39.26481874,38.13
22.73876768,39.26481881,79.88
22.73861653,39.26481881,41.63
22.73865571,39.26481886,52.88
22.73861538,39.26481901,41.13
22.73870741,39.26481899,71
22.73861504,39.26481919,38.75
22.73862095,39.26481947,45.13
22.73879725,39.26481954,77
22.73865596,39.26481976,54.25
22.73869653,39.26481987,52.75
22.73861482,39.26482001,37.88
22.73861494,39.26482001,39.38
22.7387684,39.26482015,81
22.73869713,39.26482031,54
22.73883703,39.26482047,84
22.73862191,39.26482062,45.63
22.7386976,39.26482067,56.38
22.7386561,39.26482065,55.75
22.73869819,39.26482102,56.88
22.73870862,39.26482104,71.75
22.73879857,39.26482123,78.25
22.73869866,39.26482137,57.5
22.73865636,39.26482164,54.88
22.73876914,39.26482167,80
