 gaue,Y,ec
23.86406167,37.986755,45.88
23.86406867,37.98676726,47.5
23.86406915,37.9867681,48.5
23.86406963,37.98676893,49.5
23.8640701,37.98676976,50
23.86407058,37.9867706,51.5
23.86407112,37.98677155,52.25
23.8640716,37.98677238,52.5
23.86407207,37.98677321,53.13
23.86407255,37.98677405,53
23.86407303,37.98677488,53.75
23.86407357,37.98677583,53.38
23.86407405,37.98677667,54.88
23.86407452,37.9867775,54.88
23.864075,37.98677833,51.5
23.86415008,37.98691848,69.88
23.86415067,37.9869195,70
23.8641525,37.98692271,72
23.86415308,37.98692373,72.63
23.86415367,37.98692475,71.88
23.86415425,37.98692577,73.38
23.86415483,37.98692679,73.38
23.8641555,37.98692796,75.75
23.86415608,37.98692898,75.5
23.86415667,37.98693,76.25
23.86417697,37.98697359,79.25
23.86417768,37.98697418,79.63
23.86417849,37.98697485,80
23.86417919,37.98697544,78.63
23.8641799,37.98697603,78.5
23.86418061,37.98697662,79.25
23.86418131,37.98697721,81.75
23.86418202,37.98697779,82.63
23.86418283,37.98697847,83.13
23.86418353,37.98697906,82.25
23.86418424,37.98697965,84.5
23.86418495,37.98698024,84.88
23.86418566,37.98698082,86.38
23.86418647,37.9869815,86.5
23.86419833,37.98697833,116.75
23.86421208,37.98696966,117.13
23.8642129,37.98696897,115.5
23.86421363,37.98696837,114.38
23.86421435,37.98696777,115
23.86421507,37.98696716,113.63
23.86421579,37.98696656,111
23.86421662,37.98696588,112.25
23.86421734,37.98696527,110.75
23.86421806,37.98696467,107.38
23.86421878,37.98696407,104.63
23.8642196,37.98696338,102.5
23.86422033,37.98696278,102.38
23.86422105,37.98696218,100.38
23.86421874,37.98694097,73.88
23.8642184,37.98693945,73.25
23.8642181,37.98693812,75.88
23.86421781,37.98693679,73.88
23.86421751,37.98693546,72.38
23.86421722,37.98693414,71.88
23.86421688,37.98693262,70.88
23.86420225,37.98690254,70.88
23.86420167,37.98690167,71.5
23.86420108,37.98690079,71.63
23.8642005,37.98689992,71.63
23.86419983,37.98689892,71.88
23.86419925,37.98689804,72
23.86419867,37.98689717,73.5
23.86418443,37.98687552,49.5
23.86418431,37.98687529,47.63
23.86418419,37.98687505,47.25
23.86418407,37.98687481,46.38
23.86418396,37.98687458,45.63
23.86418382,37.98687431,44.75
23.8641837,37.98687407,44.63
23.86418359,37.98687384,44.38
23.86418347,37.9868736,43.63
23.86418333,37.98687333,44
23.86418323,37.9868698,52.13
23.86418311,37.98686956,50.38
23.86418298,37.98686929,51.5
23.86418286,37.98686906,51.25
23.86418274,37.98686882,52.5
23.86418263,37.98686859,53.38
23.86418251,37.98686835,53
23.86418237,37.98686808,53.75
23.86418226,37.98686785,53.88
23.86418214,37.98686761,57
23.86418202,37.98686737,58
23.8641819,37.98686714,59.38
23.86418179,37.9868669,60.13
23.86417778,37.98685722,55.13
23.86417519,37.98685204,52.38
23.86417445,37.98685056,53
23.8641738,37.98684926,52.38
23.86414812,37.98680458,46.38
23.86414756,37.98680346,45.88
23.86414707,37.98680247,45.25
23.86414658,37.98680149,46.88
23.86414609,37.98680051,45.38
23.8641456,37.98679953,45.25
23.86414504,37.9867984,46.5
23.86414454,37.98679742,46.38
23.86414405,37.98679644,46.13
23.86414356,37.98679546,44.63
23.86414307,37.98679447,45.5
23.86414258,37.98679349,45.38
23.86414202,37.98679237,45.88
23.86412633,37.98676774,45
23.86412579,37.9867668,42.63
23.86412532,37.98676598,45.75
23.86412485,37.98676515,46
23.86412438,37.98676433,46.5
23.86412391,37.9867635,46.75
23.86412344,37.98676268,45.5
23.8641229,37.98676173,45.88
