sampling_poin_no,Latitude,Longitude,K,P,NO3,SO4,CaCO3
0,33.1219,73.016,210.4,22.67,7.24,6.35,7.61
4,33.1212,73.0131,105.69,6.98,5.96,7.13,6.24
6,33.1213,73.016,192.01,23.5,7.67,6.87,7.23
10,33.1209,73.0131,121.5,5.22,7.8,5.21,7.29
13,33.121,73.0157,181.99,8.35,7.99,9.34,8.1
16,33.121,73.0167,180.09,18.43,7.57,9.93,8.39
21,33.1207,73.0128,119.6,5.71,7.43,4.97,6.5
22,33.1207,73.0131,99.54,5.77,4.23,6.54,5.1
23,33.1206,73.0136,110.43,5.57,4.4,6.71,5.03
27,33.1207,73.0154,179.09,9.07,6.89,9.12,7.27
29,33.1207,73.016,181.09,8.11,9.41,5.56,8.12
32,33.1207,73.017,202.89,5.34,9.81,11.45,8.33
34,33.1207,73.0176,117.6,12.43,8.1,5.03,8.71
35,33.1203,73.0115,119,6.33,6.5,6.57,5
37,33.1204,73.0123,113.8,6.56,8.12,6.2,4.98
38,33.1204,73.0128,113.19,4.79,2.37,8.76,6.11
39,33.1205,73.0131,110.67,4.52,3.34,8.33,6.23
40,33.1204,73.0135,110.98,5.81,5.46,7.45,5.13
42,33.1204,73.0141,190.08,5.64,8.26,7.45,8.24
46,33.1204,73.0161,189.7,13.43,6.12,6.43,7.15
49,33.1205,73.017,197.6,13.5,6.32,5.35,6.71
51,33.1205,73.0177,209.1,6.94,16.18,5.98,9.13
53,33.1201,73.0096,106.87,8.25,10.57,6.6,9.24
56,33.1201,73.0109,112.5,7.1,7.54,7,8.37
58,33.1201,73.0116,109,5.4,7.33,8.98,7.14
59,33.1203,73.0119,119.08,2.5,4.43,7.45,5.31
63,33.1201,73.0132,113.93,3.54,1.05,6.34,5.26
67,33.1202,73.0148,189.89,2.42,8.84,10.45,8.71
70,33.1202,73.0157,187,3.37,9.54,10.37,8.13
71,33.1202,73.016,183.58,5.07,7.08,4.34,9.27
73,33.1202,73.0167,204.09,19.52,8.21,5.43,8.91
78,33.1202,73.0183,113,5.7,5.9,11.01,7.33
80,33.1198,73.01,101,8.45,9.8,7.32,8.45
85,33.1198,73.0116,116.49,3.11,4.08,11.29,5.51
88,33.1198,73.0125,118.45,2.92,4.7,7.21,5.67
91,33.1199,73.0135,117.22,1.3,3.42,8.91,5.59
94,33.1199,73.0148,187.76,11.76,5.5,4.97,6.13
95,33.1199,73.0151,256.78,3.72,8,5.61,8.78
97,33.1199,73.0157,201.67,11.23,4.9,7.56,6.39
101,33.12,73.0173,186.89,12.04,7.75,6.94,8.22
